NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_015E,B25026_014E,B25026_013E,B25026_012E,B25026_011E,B25026_010E,B25077_001E,B25075_025E,B17001_001E,B17001_002E,B19301_001E,B19001_017E,B19013_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,B23006_001E,B23006_023E,state,county
"Clermont County, Ohio",0500000US39025,196731,38.3,188748,2619,395,1901,0,888,80316,73333,56331,17002,39901,56,155,568,2923,5482,30717,160500,394,194858,18790,28639,2990,60219,146571,44513,889,122817,118125,107165,29284,39,025
"Clinton County, Ohio",0500000US39027,42296,37.8,40169,869,38,212,0,221,18127,16190,11465,4725,11413,20,62,201,530,1940,8660,123800,66,41163,6079,22582,248,47264,34753,6841,220,26222,25852,22061,3543,39,027
"Columbiana County, Ohio",0500000US39029,108198,42.0,103608,2411,69,351,24,437,47145,42235,31446,10789,24162,304,256,620,2228,3771,16983,97700,75,103884,16515,20691,403,41003,81590,25063,399,66602,64922,58385,8226,39,029
"Coshocton County, Ohio",0500000US39031,36974,40.8,35885,437,54,112,0,126,16550,14375,10797,3578,8890,110,30,192,813,1370,6375,96400,30,36467,6095,20084,96,40727,31718,5010,163,22082,21035,19151,2339,39,031
"Crawford County, Ohio",0500000US39033,43998,41.6,42750,358,20,151,0,102,20178,17905,12694,5211,13262,80,193,329,1196,2065,9399,92600,91,43259,6394,20823,123,41336,37074,6319,230,26081,25543,22819,2794,39,033
"Cuyahoga County, Ohio",0500000US39035,1285279,39.9,832512,379068,2478,33649,332,13535,622207,537203,330799,206404,434115,4267,4652,9564,38824,65102,311706,134900,1609,1260508,215531,26810,17691,44088,939322,236697,18367,792097,700262,679849,213722,39,035
"Darke County, Ohio",0500000US39037,52907,40.3,51793,223,41,137,0,142,22688,20700,15923,4777,11004,164,106,174,1008,1561,7991,113100,32,52210,5993,22095,261,45055,42476,9835,169,30793,30349,26815,3261,39,037
"Defiance County, Ohio",0500000US39039,39066,39.0,36265,608,286,125,10,924,16733,15183,11816,3367,7698,34,130,149,419,1302,5664,110500,32,38335,4835,22862,218,46864,29335,8785,217,23644,22409,20119,3577,39,039
"Delaware County, Ohio",0500000US39041,170541,36.8,153358,6105,229,6722,0,934,65494,62618,51744,10874,24421,47,152,173,1896,3163,18990,253400,648,167439,7578,41384,6949,90022,117313,42617,1451,105419,97403,94577,50087,39,041
"Erie County, Ohio",0500000US39043,77223,43.0,67440,6450,222,416,0,698,37848,31642,22605,9037,19868,191,130,643,1476,3540,13888,138000,81,75443,9507,25704,794,47466,60798,14784,385,46802,45205,41029,8875,39,043
"Fairfield County, Ohio",0500000US39045,145167,37.8,130960,8144,152,1619,0,1305,58383,54388,40420,13968,33450,148,386,295,2027,4635,25959,168000,93,142269,16307,26693,1319,58249,113366,27305,719,89377,85769,78057,21408,39,045
"Fayette County, Ohio",0500000US39047,28955,39.3,27468,674,73,155,10,91,12692,11543,7277,4266,10718,26,21,253,860,1675,7883,110000,25,28355,5251,20523,129,39263,25071,3400,77,17460,16887,15187,2117,39,047
"Franklin County, Ohio",0500000US39049,1153671,33.4,814435,242495,2189,44022,102,17398,525792,460497,260980,199517,462365,1387,2247,5453,22822,57495,372961,155200,1198,1129154,196105,27646,17034,50045,764882,274494,9937,762077,670943,627318,236425,39,049
"Fulton County, Ohio",0500000US39051,42702,39.2,40905,160,51,144,0,607,17371,16332,13284,3048,7015,216,23,235,553,782,5206,131500,55,42204,4353,23718,134,51851,32769,8838,222,25678,24633,22508,3758,39,051
"Gallia County, Ohio",0500000US39053,30954,39.7,29331,810,6,116,0,160,13923,12009,8779,3230,7545,192,83,212,642,873,5543,96900,40,30150,6087,20782,172,36918,21348,9172,143,18629,18173,15886,2554,39,053
"Geauga County, Ohio",0500000US39055,93476,42.8,90722,1045,83,452,14,100,36454,34447,29901,4546,9982,118,132,661,1124,1572,6375,228400,555,92731,7432,33947,2379,66229,73515,16603,441,55001,49477,48642,18112,39,055
"Greene County, Ohio",0500000US39057,160940,36.9,139405,11139,406,4727,48,1011,67844,62558,42768,19790,44146,259,437,538,1819,4930,36163,159700,182,152196,19472,29101,2107,57553,101931,50133,2055,104188,97422,80848,30304,39,057
"Guernsey County, Ohio",0500000US39059,40219,40.4,38673,585,77,127,1,47,19219,15913,11607,4306,9949,48,79,297,815,1944,6766,92300,60,39530,6747,19538,136,38179,33479,6245,99,24050,23586,20886,2634,39,059
"Hamilton County, Ohio",0500000US39061,801223,37.0,557572,204299,1252,15766,411,5433,378115,325766,198429,127337,271605,1441,2296,5245,16910,39827,205886,147800,2427,784093,124841,29197,14370,49218,580697,177682,4360,503986,467665,420986,147688,39,061
"Hancock County, Ohio",0500000US39063,74847,37.9,69816,1190,134,1256,41,1497,33010,30425,21633,8792,18400,194,104,432,967,2075,14628,130300,62,72864,8699,25314,606,49888,59834,12630,230,46504,43951,38877,10310,39,063
"Hardin County, Ohio",0500000US39065,32127,34.4,31063,214,101,152,21,79,13126,11692,7884,3808,8653,42,40,146,676,1725,6024,101000,96,29960,5571,19109,121,39945,27184,4574,126,20279,19591,15203,2224,39,065
"Harrison County, Ohio",0500000US39067,15864,43.6,15255,393,8,5,0,26,8141,6298,4881,1417,3423,86,14,24,273,651,2375,84200,20,15539,3124,19927,66,36920,11830,3956,31,9444,9266,8384,783,39,067
