NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_010E,B25077_001E,B25075_001E,B25075_025E,B17001_001E,B17001_002E,B19301_001E,B19001_001E,B19001_017E,B19013_001E,B05002_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,B25026_009E,B25026_015E,B25026_014E,B25026_013E,B25026_012E,B25026_011E,B25026_010E,state,county,tract
"Census Tract 20, Coconino County, Arizona",1400000US04005002000,1966,37.6,1672,0,202,17,4,39,1093,711,525,186,328,234,157800,525,0,1954,315,20282,711,0,43869,1966,383,1548,8,1216,1063,328,0,0,0,80,14,234,04,005,002000
"Census Tract 21, Coconino County, Arizona",1400000US04005002100,7225,34.3,4262,35,2372,0,0,257,2916,2703,1996,707,2164,1530,156600,1996,0,7166,1019,24258,2703,48,57406,7225,3392,3800,0,4574,3564,2164,0,0,375,0,259,1530,04,005,002100
"Census Tract 22, Coconino County, Arizona",1400000US04005002200,6421,40.8,5387,11,498,29,16,220,4483,2751,2043,708,1717,1358,259500,2043,96,6385,657,30037,2751,104,51952,6421,2359,3585,38,4394,4051,1717,0,0,0,16,343,1358,04,005,002200
"Census Tract 23, Coconino County, Arizona",1400000US04005002300,4274,48.7,3526,39,452,40,21,80,3038,1789,1281,508,889,491,187300,1281,30,4206,692,23685,1789,14,45781,4274,1318,2629,21,3092,2649,889,0,16,61,87,234,491,04,005,002300
"Census Tract 9422.01, Coconino County, Arizona",1400000US04005942201,4229,23.5,68,3,4054,0,37,17,1400,931,816,115,494,81,74800,816,11,4189,1068,12230,931,3,40331,4229,3789,415,0,2361,672,494,0,5,105,195,108,81,04,005,942201
"Census Tract 9422.02, Coconino County, Arizona",1400000US04005942202,4012,25.7,23,56,3892,0,6,6,1344,895,721,174,844,138,72200,721,6,3969,1046,11247,895,6,32083,4012,3611,401,0,2302,457,844,0,0,47,383,276,138,04,005,942202
"Census Tract 9449, Coconino County, Arizona",1400000US04005944900,4802,32.4,298,0,4419,40,0,30,1471,1104,516,588,2666,916,154900,516,12,4786,1605,14837,1104,32,46680,4802,3904,828,0,2717,1168,2666,0,476,319,461,494,916,04,005,944900
"Census Tract 9450, Coconino County, Arizona",1400000US04005945000,3671,32.0,162,20,3421,68,0,0,1458,946,790,156,607,184,89900,790,0,3655,1365,11129,946,6,28750,3671,3309,271,0,1982,514,607,0,5,16,271,131,184,04,005,945000
"Census Tract 9451, Coconino County, Arizona",1400000US04005945100,3427,31.4,24,2,3322,18,0,8,1487,877,665,212,794,465,77900,665,2,3419,1038,10472,877,0,26518,3427,3204,215,0,1935,526,794,0,65,92,58,114,465,04,005,945100
"Census Tract 9452, Coconino County, Arizona",1400000US04005945200,4916,26.5,140,4,4593,56,0,78,1273,1054,636,418,1664,1160,86000,636,0,4916,1013,14537,1054,17,54403,4916,4450,410,0,3111,1408,1664,0,38,0,110,356,1160,04,005,945200
"Census Tract 1, Gila County, Arizona",1400000US04007000100,2492,61.2,2437,0,55,0,0,0,4157,1105,963,142,238,111,251400,963,0,2476,235,24401,1105,9,41493,2492,668,1747,42,1309,1300,238,0,0,0,76,51,111,04,007,000100
"Census Tract 2, Gila County, Arizona",1400000US04007000200,1894,59.1,1834,0,0,0,0,46,3246,822,710,112,286,286,197700,710,0,1894,197,19214,822,7,35174,1894,638,1236,6,844,786,286,0,0,0,0,0,286,04,007,000200
