NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_015E,B25026_014E,B25026_013E,B25026_012E,B25026_011E,B25026_010E,B25077_001E,B25075_025E,B25075_026E,B25075_027E,B17001_001E,B17001_002E,B19301_001E,B19001_017E,B19013_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,B23006_001E,B23006_023E,state,county,tract
"Census Tract 51, Polk County, Oregon",1400000US41053005100,2420,29.8,1709,71,42,72,47,156,940,843,308,535,1646,0,0,37,436,1082,91,143700,0,0,0,2420,833,14893,0,31832,1136,763,49,1532,1093,1264,91,41,053,005100
"Census Tract 52.01, Polk County, Oregon",1400000US41053005201,8805,34.9,7744,23,35,255,26,164,3692,3192,2072,1120,2862,0,56,16,239,2242,309,230100,0,0,0,8777,483,28065,79,67803,4232,3563,91,4926,4378,4111,1389,41,053,005201
"Census Tract 52.02, Polk County, Oregon",1400000US41053005202,10313,37.6,8710,215,243,328,94,279,4013,3787,2268,1519,4267,0,51,17,870,2902,427,225800,0,0,0,10210,721,29098,182,57876,5144,4031,53,6114,4909,5158,2075,41,053,005202
"Census Tract 53, Polk County, Oregon",1400000US41053005300,9371,48.5,8620,24,145,127,22,315,3746,3612,2792,820,2018,16,16,199,935,779,73,266500,0,47,0,9274,989,32474,174,67687,5014,3198,81,5211,4191,4394,1686,41,053,005300
"Census Tract 202.02, Polk County, Oregon",1400000US41053020202,6053,44.3,5810,0,0,182,0,19,2610,2540,1452,1088,2555,0,0,0,402,1637,516,200400,0,0,0,6021,1353,23539,13,41938,3183,2679,0,3269,3031,2640,651,41,053,020202
"Census Tract 202.03, Polk County, Oregon",1400000US41053020203,3065,33.4,2823,24,23,4,0,12,1055,1055,586,469,1270,0,0,30,229,977,34,166300,0,0,0,2904,825,18271,15,34538,1801,1228,19,1878,1778,1548,261,41,053,020203
"Census Tract 202.04, Polk County, Oregon",1400000US41053020204,5092,42.1,4522,20,47,99,0,18,1781,1696,1446,250,837,0,0,38,123,649,27,223800,0,0,0,5083,506,25427,32,62019,2462,2441,52,2941,2850,2491,793,41,053,020204
"Census Tract 203.02, Polk County, Oregon",1400000US41053020302,9539,32.3,8248,27,23,54,7,488,3579,3412,2106,1306,3563,18,0,87,659,2457,342,158900,0,0,0,9501,1774,21115,43,50886,5243,3131,108,5767,4245,4682,1117,41,053,020302
"Census Tract 203.03, Polk County, Oregon",1400000US41053020303,4656,21.5,3958,31,73,70,0,78,1549,1366,612,754,2010,8,0,0,33,1537,432,266100,0,10,8,3586,1375,16142,61,28786,2700,1702,13,3472,2964,1252,570,41,053,020303
"Census Tract 203.04, Polk County, Oregon",1400000US41053020304,6835,28.5,5715,162,31,245,42,381,2825,2638,1390,1248,2976,0,0,127,451,1982,416,197700,0,0,0,6757,1945,18964,0,40764,3424,2499,35,4748,3677,3024,963,41,053,020304
